	FEXC	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX10	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33
HOG3716	3	3	5	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG3725	1	2	1	1	2	1	1	1	1	2	1	2	2	2	0	1	1	2	1	2	1	1	1	2	0	1	2	2	1
HOG3733	2	2	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2
HOG3742	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG3744	2	2	2	4	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	4	2	2	4	2	2	2	2	2	2
HOG3746	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	0	2	2	2	2	2	2
HOG3786	0	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1
HOG3794	2	2	2	2	2	2	2	0	2	0	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2
HOG3800	2	2	1	2	2	2	1	1	2	2	2	1	1	2	2	0	2	2	2	2	2	2	1	1	2	1	2	1	2
HOG3804	1	1	0	1	0	1	2	0	0	0	1	3	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	3	1
HOG3805	4	4	6	4	5	4	2	4	5	5	4	2	5	7	4	4	5	4	4	4	4	5	4	4	4	3	4	2	4
HOG3821	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	1	3
HOG3840	2	2	2	0	2	2	2	2	2	2	2	2	3	2	0	2	2	2	3	2	3	2	2	2	2	2	2	2	2
HOG3843	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	1
HOG3852	2	2	0	0	4	2	2	0	2	4	2	6	0	2	2	0	2	2	2	1	1	0	2	2	4	2	2	2	0
HOG3853	2	3	0	4	0	2	2	6	2	0	2	0	4	2	2	4	2	2	2	1	2	5	2	2	0	2	2	2	4
HOG3858	2	2	2	2	2	2	2	0	2	4	2	4	3	2	2	3	2	0	0	2	2	2	2	2	2	2	2	2	2
HOG3859	1	2	1	1	1	2	1	1	2	2	1	2	1	1	2	2	1	1	1	2	2	1	1	2	1	1	0	1	1
HOG3860	1	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	2	1	1
HOG3867	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
HOG3877	1	1	1	1	0	1	1	1	0	1	1	2	1	1	1	1	0	1	1	3	1	0	1	1	1	1	0	1	1
HOG3878	1	0	1	1	3	1	1	2	1	0	1	1	1	1	1	2	1	2	1	0	2	1	1	1	1	1	1	2	1
HOG3898	3	3	3	4	3	3	3	3	3	3	3	4	3	3	3	3	3	4	4	3	0	3	4	4	4	4	3	3	3
HOG3899	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	5	1	0	0	0	0	1	1	1
HOG3927	2	2	2	1	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG3935	2	3	3	3	4	2	3	3	3	4	3	3	3	3	3	3	3	3	3	2	4	3	3	3	2	3	2	3	3
HOG3960	1	1	1	1	1	1	1	0	1	5	1	1	7	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
HOG3961	2	2	0	4	1	2	2	1	2	0	2	2	1	0	2	2	2	2	3	2	2	2	2	2	2	2	3	2	2
HOG3962	1	2	4	2	2	1	1	4	1	0	1	2	0	3	2	2	1	2	1	1	2	1	1	2	1	1	0	1	1
HOG3971	0	1	2	1	2	0	0	1	2	1	0	1	1	1	0	1	1	2	1	0	2	1	1	0	1	1	1	1	1
HOG3975	4	4	4	4	4	4	4	3	4	3	4	4	4	5	4	4	4	4	4	6	5	4	4	4	4	4	6	4	4
HOG4002	4	4	4	2	1	4	4	5	5	5	5	5	5	5	5	2	5	5	4	2	5	5	4	4	3	5	4	4	5
HOG4013	2	3	2	2	4	3	3	1	2	3	2	3	3	3	3	1	2	3	1	2	2	3	1	2	2	2	2	3	2
HOG4019	2	3	3	3	2	2	2	2	2	1	2	2	3	3	2	3	2	3	0	3	3	2	3	2	2	2	2	2	2
HOG4026	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	0	2	2	2	1	2	2	2	2	2	2	2	1	2
HOG4028	1	1	0	1	1	1	1	1	0	1	1	0	0	2	1	0	1	0	0	2	2	1	1	1	0	0	1	0	0
HOG4033	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3
HOG4035	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	6	3	3	3	3
HOG4040	2	2	0	2	3	2	2	3	2	3	2	3	2	0	2	2	2	0	0	2	2	2	2	0	3	2	2	2	3
HOG4041	2	2	2	4	2	2	2	0	2	4	2	0	0	2	2	2	2	4	1	2	0	2	2	2	2	2	2	2	2
HOG4048	3	5	2	3	5	3	3	6	2	5	3	5	3	3	5	5	3	1	3	5	3	3	3	5	3	3	3	5	5
HOG4052	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	0	2
HOG4053	4	5	4	4	4	4	4	6	4	4	4	2	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4
HOG4054	1	0	2	2	1	1	1	0	1	2	1	2	2	1	2	0	1	1	1	1	2	1	2	1	2	1	1	2	0
HOG4062	4	8	4	4	4	4	4	6	4	4	4	4	4	4	4	8	5	4	4	4	4	4	4	4	4	4	4	4	4
HOG4090	3	3	1	3	0	3	3	1	3	0	3	4	4	0	3	3	3	1	3	3	3	3	3	4	3	3	3	3	3
HOG4092	1	1	3	1	4	1	1	3	1	4	1	0	0	4	1	1	1	3	1	1	1	1	1	0	1	1	1	1	1
HOG4109	1	1	1	1	2	1	1	0	0	1	1	0	1	1	1	1	1	2	1	1	2	1	1	0	0	1	1	0	1
HOG4110	1	2	2	1	1	2	2	1	3	1	2	3	2	2	2	2	2	1	2	2	0	2	2	1	2	2	2	3	2
HOG4113	3	3	2	3	2	3	3	3	3	3	3	2	2	2	2	3	2	2	3	3	2	2	3	2	3	2	3	2	3
HOG4114	0	1	1	0	1	1	1	0	1	1	0	2	1	1	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0
HOG4116	3	5	2	3	5	3	3	0	3	0	3	3	0	5	3	3	3	3	0	5	3	3	5	5	1	3	1	4	3
HOG4117	1	0	3	2	0	1	1	5	1	5	1	0	5	0	1	0	1	0	3	0	0	2	0	0	4	1	2	0	2
HOG4122	2	3	3	3	3	2	3	3	0	3	2	2	3	2	2	1	3	3	3	2	2	3	0	2	3	3	1	3	3
HOG4131	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1
HOG4134	1	1	1	0	1	1	1	2	1	1	2	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
HOG4137	2	2	2	2	2	2	2	1	2	4	2	1	2	2	2	3	2	2	2	4	4	2	2	2	2	2	2	2	2
HOG4139	1	0	3	0	1	1	1	2	1	1	1	4	1	1	1	0	0	0	2	1	1	1	1	1	1	3	0	3	1
HOG4141	18	19	15	21	19	19	19	18	19	19	20	16	19	18	18	20	21	20	19	19	18	19	19	19	20	17	21	17	19
HOG4144	2	4	2	4	2	3	2	4	2	2	2	3	3	3	3	4	3	2	2	3	1	2	2	4	4	2	2	2	2
HOG4145	2	0	2	0	2	1	2	0	2	2	2	1	1	1	1	0	1	0	2	1	3	2	2	0	0	2	2	2	2
HOG4151	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	1	1
HOG4160	1	1	1	1	1	1	1	0	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
HOG4166	1	1	1	1	1	1	0	0	1	1	1	2	1	0	0	1	1	1	0	0	2	1	0	0	1	0	1	0	1
HOG4167	3	3	4	4	4	3	3	4	3	4	3	3	4	1	3	3	3	3	4	5	3	3	3	3	3	3	3	4	3
HOG4170	4	5	5	5	4	5	5	6	4	5	4	5	5	4	5	5	5	5	5	5	5	5	4	4	5	5	4	5	5
HOG4190	1	2	1	1	2	1	1	1	1	2	1	2	2	2	2	4	1	0	1	0	1	1	1	1	1	5	1	1	1
HOG4194	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2
HOG4198	1	2	1	1	1	1	1	0	1	0	1	0	2	2	2	1	1	1	1	1	2	2	0	1	0	1	1	1	1
HOG4199	1	0	1	1	1	1	1	1	1	2	1	2	0	0	0	1	1	1	1	1	0	0	2	1	1	1	1	1	1
HOG4207	1	1	0	1	0	0	1	1	0	1	0	0	0	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1
HOG4209	2	2	2	2	4	2	3	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG4220	5	6	6	6	6	6	6	6	6	5	6	6	6	6	5	5	5	6	6	6	6	6	6	6	6	6	4	6	6
HOG4228	3	3	3	3	0	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG4230	6	6	6	6	6	6	5	5	6	6	5	6	7	6	6	6	4	6	6	6	6	6	6	6	6	5	6	6	6
HOG4233	1	1	1	2	1	1	0	1	1	2	1	1	1	1	0	0	1	1	2	1	1	2	1	1	1	1	2	1	2
HOG4234	1	1	1	0	1	1	2	1	1	0	1	1	1	1	2	2	1	1	0	1	1	0	1	1	1	1	0	1	0
HOG4246	5	5	4	5	4	5	5	4	4	4	5	5	4	4	5	6	5	5	6	5	4	5	5	5	6	5	5	5	4
HOG4247	2	2	4	3	4	2	2	4	3	4	2	3	4	4	3	1	2	2	1	2	3	2	2	2	2	3	3	2	4
HOG4248	1	1	3	1	1	1	1	1	1	0	1	3	1	1	0	0	1	1	0	3	1	1	1	1	1	1	1	1	1
HOG4249	1	1	3	3	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG4251	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0
HOG4263	3	4	4	5	5	3	3	1	4	1	4	0	4	4	4	4	4	0	4	2	4	3	4	3	3	4	4	3	4
HOG4286	5	6	6	6	5	5	6	6	6	3	6	6	2	2	5	3	5	6	5	6	4	5	5	6	6	6	3	6	6
HOG4303	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2
HOG4306	2	5	5	5	2	2	2	7	2	5	2	3	3	2	5	5	2	2	2	2	1	2	2	2	2	2	1	5	2
HOG4307	3	0	0	0	3	3	3	0	3	0	3	1	2	3	0	0	3	3	3	3	3	3	3	3	3	3	3	0	3
HOG4308	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0
HOG4310	2	2	2	2	4	2	2	4	2	2	2	2	0	2	2	4	2	3	2	2	2	2	2	2	2	2	2	4	2
HOG4314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1
HOG4321	11	15	13	12	14	12	12	16	12	14	13	13	13	13	11	12	14	12	14	13	12	12	12	12	12	12	12	12	15
HOG4326	4	5	4	4	4	5	4	1	4	4	4	2	4	4	5	5	4	4	4	5	4	4	4	4	4	4	4	4	4
HOG4329	2	3	0	2	0	2	1	3	1	2	2	1	0	0	3	3	0	2	1	3	2	3	1	1	1	1	0	2	2
HOG4330	1	0	3	1	3	1	2	1	2	1	1	3	3	3	0	0	3	1	2	0	1	0	2	2	2	2	3	1	1
HOG4349	1	2	2	2	0	1	1	2	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0
HOG4350	1	0	0	0	2	1	1	0	2	2	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2
HOG4361	2	3	2	3	3	2	2	0	2	2	2	0	3	3	3	3	2	2	2	3	3	2	2	3	2	0	2	3	0
HOG4367	2	2	2	1	3	2	2	3	2	3	2	0	1	4	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
HOG4368	2	2	2	3	1	2	2	1	2	1	2	3	2	0	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2
HOG4371	1	1	1	2	2	2	1	2	1	1	2	2	1	1	1	1	4	3	3	1	1	1	3	1	2	1	3	1	1
HOG4372	2	2	2	0	2	2	0	2	2	2	0	2	2	2	2	2	0	0	0	2	0	2	0	2	2	2	0	2	2
HOG4378	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	3	1	1	0	2	2	1	1	1
HOG4379	1	2	3	2	2	1	1	3	1	1	1	0	2	2	2	2	1	1	0	2	0	1	2	3	0	1	1	2	1
HOG4380	2	0	0	0	0	2	2	0	2	2	2	0	0	0	1	0	2	2	2	0	0	2	1	1	2	1	2	0	2
HOG4385	1	1	1	0	0	1	1	1	0	1	0	1	0	0	3	1	0	1	0	1	1	1	0	1	1	0	1	1	1
HOG4387	5	5	7	5	5	5	5	5	5	5	5	5	5	5	5	8	5	5	6	5	5	5	5	5	5	5	5	5	5
HOG4389	1	2	1	3	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	3	3	1	1	1	1	1	1	1	1
HOG4391	1	0	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0
HOG4392	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1
HOG4393	3	3	3	3	3	3	4	2	3	2	3	0	1	3	4	5	3	5	4	4	4	3	3	3	4	3	4	4	4
HOG4394	1	2	1	1	1	1	1	3	1	3	1	1	3	1	1	1	3	1	0	1	1	1	1	1	1	1	1	1	1
HOG4418	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1
HOG4425	3	3	1	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	1	3	3	3	3	3
HOG4437	1	1	1	0	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	0	1	1	1	3	3	1
HOG4438	2	2	2	3	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	3	2	2	2	0	0	2
HOG4440	1	2	2	1	1	1	1	0	1	1	1	2	1	2	2	2	1	1	1	0	0	2	1	1	1	2	1	1	1
HOG4441	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	2	0	1	1	1	0	1	1	1
HOG4448	0	0	2	2	0	1	1	0	2	2	2	0	2	2	1	1	1	1	0	2	1	2	2	0	0	1	2	1	2
HOG4451	1	2	1	1	0	1	1	2	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
HOG4453	1	0	1	1	2	1	1	0	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1
HOG4476	1	1	1	2	0	1	2	2	0	0	2	1	1	2	1	2	1	1	1	1	0	2	1	1	1	1	1	1	0
HOG4477	1	1	1	1	2	1	0	0	1	2	0	1	1	0	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1
HOG4480	2	2	4	2	2	2	2	0	2	2	2	2	0	2	2	2	2	3	2	2	0	2	2	2	2	6	2	2	2
HOG4484	5	7	7	6	6	6	6	6	6	7	6	6	7	7	6	6	6	6	6	6	5	6	7	6	7	6	6	7	6
HOG4488	3	5	3	3	4	3	2	0	3	2	3	2	4	4	3	4	3	2	4	5	2	3	3	2	0	4	3	2	3
HOG4498	1	3	3	1	1	1	1	1	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG4501	2	0	0	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG4506	3	2	3	4	4	3	3	3	3	3	3	3	2	3	4	4	3	3	4	2	3	3	4	3	3	3	3	3	3
HOG4507	1	2	1	0	0	1	1	1	1	1	1	1	2	1	0	0	1	1	0	2	1	1	0	1	1	1	1	1	1
HOG4517	1	1	2	2	2	1	2	1	2	1	2	2	2	2	2	1	2	0	2	2	3	2	3	1	1	1	2	2	2
HOG4522	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	0	1	0	0	1	1
HOG4525	2	2	2	3	2	2	2	2	2	0	2	2	0	2	2	2	3	2	2	3	2	2	3	3	3	2	3	3	3
HOG4531	1	3	1	3	3	1	1	3	1	1	1	3	3	1	3	3	0	0	0	1	0	1	0	1	3	1	0	1	1
HOG4535	4	7	6	5	6	5	4	6	4	5	4	0	5	5	7	0	4	5	6	7	5	4	5	4	5	5	4	4	4
HOG4536	2	0	0	2	1	2	2	2	2	2	2	7	2	2	0	0	2	2	0	0	2	2	2	2	2	2	2	2	2
HOG4539	2	1	1	2	1	1	2	1	2	1	1	1	1	0	1	1	1	1	1	1	0	0	2	2	1	1	2	2	1
HOG4541	4	3	2	4	2	4	4	3	4	4	4	4	3	4	4	4	4	3	4	4	3	4	4	4	4	4	4	4	4
HOG4553	1	3	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1
HOG4554	2	0	0	1	2	2	2	0	2	0	2	0	3	3	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2
HOG4559	7	7	7	7	7	7	7	9	7	7	7	9	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7
HOG4561	5	7	7	5	7	5	5	5	5	7	5	7	7	7	5	7	5	6	7	7	5	7	5	5	5	6	5	5	5
HOG4566	4	4	4	1	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4
HOG4567	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	1	0	2	2	2	2	2	2	2	2	2
HOG4577	1	3	3	0	0	1	1	0	1	4	1	3	3	3	1	3	1	0	0	3	1	1	0	2	1	1	1	3	1
HOG4578	2	0	0	3	5	2	2	0	2	0	2	0	0	0	2	0	2	0	3	0	2	2	3	1	2	2	2	0	2
HOG4599	1	3	1	1	1	1	1	1	1	2	1	3	0	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG4602	2	1	3	2	3	3	3	3	3	3	3	2	2	3	1	2	3	3	2	3	3	2	3	2	2	2	3	3	3
HOG4620	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1
HOG4623	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	4	3	3	3	2	3	3	3	2	3	3	3	3
HOG4624	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	0	1	1	1	2	1	1	1	2	1	1	1	1
HOG4639	3	2	4	3	5	3	4	4	5	6	3	2	5	3	4	3	2	4	1	3	1	4	5	3	2	2	2	2	3
HOG4640	2	3	3	3	2	3	2	3	1	1	2	5	1	3	2	3	4	2	5	1	5	3	1	3	4	4	3	3	3
HOG4641	1	2	1	0	0	1	1	1	1	1	1	1	1	1	0	2	0	1	0	1	1	1	1	0	1	1	1	1	0
HOG4647	1	1	1	0	1	1	1	3	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	3	1	0	2	1
HOG4651	2	2	3	4	4	3	3	3	2	3	4	3	3	4	3	2	4	4	4	4	2	3	4	4	4	4	3	4	4
HOG4655	4	4	3	5	4	4	4	2	4	4	3	5	4	4	3	4	4	5	4	4	7	4	4	4	2	3	4	3	4
HOG4656	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	0	1	2	1	1	2	3	1	1
HOG4658	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG4666	5	5	5	4	5	5	5	6	5	6	5	3	4	5	3	5	6	5	5	5	5	6	5	5	5	5	5	5	5
HOG4674	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	0
HOG4675	2	2	2	2	3	2	2	2	4	3	3	2	3	3	2	2	3	4	3	2	3	1	3	2	2	2	2	2	3
HOG4686	1	2	2	0	0	1	1	0	1	2	1	0	1	0	1	2	1	1	1	1	1	2	1	1	0	1	1	0	1
HOG4687	5	6	6	6	9	5	4	5	6	6	6	6	6	6	6	6	6	3	6	6	4	7	5	5	5	6	6	5	6
HOG4703	2	2	2	0	2	5	2	2	2	5	2	2	2	2	2	4	2	2	2	2	5	2	2	2	2	2	2	2	2
HOG4709	2	0	2	2	2	2	2	2	2	3	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
HOG4711	2	2	2	2	2	2	0	2	2	0	2	2	0	0	1	2	2	0	1	0	2	0	2	2	2	2	2	2	2
HOG4720	1	3	2	2	3	1	1	2	2	2	2	0	4	1	4	0	1	3	4	2	2	2	1	2	1	1	1	2	2
HOG4738	3	3	0	1	2	3	4	0	3	0	4	1	0	1	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3
HOG4747	2	2	3	3	3	3	3	2	2	3	2	3	3	3	3	2	3	3	1	2	3	3	2	3	3	3	3	3	2
HOG4748	2	2	3	3	4	2	2	3	3	4	3	4	4	4	2	1	4	3	4	3	3	4	3	3	3	3	4	3	3
HOG4750	3	4	0	0	0	3	3	3	3	0	3	3	0	2	3	3	3	3	3	4	4	3	3	4	3	3	3	3	4
HOG4752	2	0	5	6	5	2	2	2	2	5	2	2	5	3	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
HOG4806	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2
HOG4818	3	3	3	3	3	4	3	2	3	4	3	4	2	3	3	3	3	3	2	4	3	3	3	3	3	2	3	4	3
HOG4824	4	4	4	4	4	4	4	4	4	4	4	0	4	6	4	4	4	4	4	4	6	4	4	4	4	4	4	4	4
HOG4825	1	2	2	1	1	1	1	1	1	2	1	0	2	2	1	1	1	1	2	2	2	2	1	2	1	2	2	1	2
HOG4827	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG4832	1	1	0	0	1	1	0	0	1	2	1	1	3	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1
HOG4837	2	2	1	1	1	2	2	2	1	1	2	2	1	1	1	2	1	1	1	2	2	1	2	2	2	2	2	2	2
HOG4842	2	0	2	0	2	2	2	1	2	2	2	2	2	2	0	2	2	2	2	0	0	2	2	2	2	2	2	2	2
HOG4859	3	3	3	4	3	3	3	4	3	3	3	3	3	3	2	3	3	2	1	3	3	3	3	3	4	3	3	3	3
HOG4875	4	3	4	3	5	4	4	5	4	4	3	4	4	3	3	4	5	3	5	4	4	4	4	4	4	4	5	4	4
HOG4878	2	2	2	3	2	2	3	3	2	2	3	3	2	2	2	3	3	3	3	3	3	2	3	3	3	3	3	3	2
HOG4891	3	3	5	5	5	4	3	3	5	6	3	3	5	5	3	1	4	5	5	3	3	3	3	3	3	3	5	3	5
HOG4910	2	2	1	0	1	1	2	0	3	2	2	2	1	3	2	3	2	1	3	1	1	3	1	0	3	0	2	1	1
HOG4911	1	1	2	0	2	2	1	3	0	1	1	1	2	0	1	0	1	2	0	2	2	0	2	2	0	3	1	1	2
HOG4916	2	2	0	0	0	1	0	2	2	1	2	0	2	2	0	2	2	2	2	2	2	2	2	2	0	0	2	2	2
HOG4924	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG4928	2	3	2	2	2	2	2	2	2	2	3	2	2	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG4933	2	2	3	2	1	2	2	2	3	3	3	3	3	3	3	2	2	2	2	3	3	3	2	3	2	3	2	3	2
HOG4953	1	1	1	1	2	1	2	2	1	0	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG4956	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	0	2	2	2
HOG4962	2	3	0	3	0	2	2	0	2	0	2	0	2	2	3	0	2	0	3	0	0	2	2	0	3	3	2	1	3
HOG4963	1	0	3	0	3	1	1	3	1	3	1	0	1	1	0	3	1	3	0	3	3	1	1	3	0	0	1	2	0
HOG4965	1	0	1	1	0	0	1	1	1	1	1	5	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1
HOG4974	1	1	1	2	1	1	1	1	1	1	1	2	0	1	1	0	0	1	1	2	1	1	1	1	2	2	1	2	1
HOG4976	4	5	2	3	2	4	4	7	3	1	4	5	2	4	4	5	6	5	5	4	5	3	3	4	4	2	5	5	3
HOG4977	2	2	4	2	4	2	2	0	3	5	2	2	4	2	2	2	2	2	0	2	2	3	2	2	2	2	2	2	2
HOG4979	1	1	0	0	0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	1
HOG4980	2	2	4	4	0	2	2	2	3	0	2	4	0	3	2	2	3	2	2	2	3	2	2	2	4	4	2	2	2
HOG4981	1	1	0	0	4	1	1	2	0	2	1	0	3	0	1	1	0	2	1	2	1	1	1	2	0	0	1	2	1
HOG4990	5	6	5	5	6	5	5	5	5	6	5	5	6	5	5	6	6	6	6	6	6	5	6	5	5	6	6	6	6
HOG4993	2	3	3	3	3	2	2	2	2	2	2	3	2	3	3	3	2	2	3	3	3	3	2	3	3	3	2	3	2
HOG4998	1	2	0	1	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1
HOG5010	2	2	2	2	2	2	2	3	2	1	2	0	1	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2
HOG5011	1	1	1	1	1	1	1	0	1	2	1	3	2	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1
HOG5015	3	3	3	3	2	2	2	2	3	3	2	2	3	2	3	2	3	2	2	3	2	3	2	3	2	2	3	2	2
HOG5018	2	2	2	3	3	2	2	2	3	2	3	2	3	3	0	2	3	2	3	2	2	2	3	2	2	3	2	2	2
HOG5041	2	1	1	2	2	2	2	3	2	3	2	4	2	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2	2
HOG5042	2	2	2	3	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
HOG5052	2	3	2	2	4	2	2	2	2	2	2	3	3	2	2	2	2	3	0	2	2	2	2	2	3	2	3	2	2
HOG5058	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	0	0	2	2	2	2	2	2	2	2	2
HOG5063	1	2	3	0	1	1	2	1	1	2	1	1	3	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1
HOG5064	1	0	0	4	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1	1	2	1	1	1	1	1	1	1	1
HOG5093	2	2	4	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2
HOG5094	2	2	0	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2
